-3,-88,14
-3,-88,14
-9,-85,9
-9,-77,4
-9,-77,4
-9,-77,4
-3,-88,14
-3,-88,14
-9,-85,9
-9,-77,4
-9,-77,4
-9,-77,4
-3,-88,14
-3,-88,14
-9,-85,9
-9,-77,4
-9,-77,4
-9,-77,4
4,-76,4
5,-76,5
9,-79,3
13,-87,7
6,-87,8
-3,-89,13
-6,-86,9
5,-77,0
6,-87,-4
13,-95,5
-3,-89,13
6,-88,10
10,-83,11
10,-83,11
-3,-88,-6
-8,-98,3
-6,-75,5
-2,-91,11
6,-84,14
-5,-86,9
-6,-81,1
-7,-88,7
-3,-91,6
-5,-72,6
6,-84,14
6,-84,14
6,-84,14
16,-79,5
-5,-90,6
-3,-91,6
6,-84,14
6,-84,14
6,-84,14
16,-79,5
-7,-88,7
-5,-90,6
6,-84,14
6,-84,14
6,-84,14
16,-79,5
16,-79,5
-7,-88,7
-2,-88,12
-2,-88,12
-2,-88,12
10,-79,3
11,-83,-0
14,-81,2
-12,-82,3
-12,-82,3
12,-84,11
12,-84,11
-2,-88,12
-2,-89,11
-2,-89,11
10,-79,3
11,-83,-0
14,-81,2
-12,-82,3
13,-86,8
12,-84,11
7,-87,8
5,-76,5
5,-76,5
-2,-89,11
9,-79,3
11,-83,-0
-12,-81,2
-12,-84,5
12,-84,11
9,-86,9
7,-87,8
5,-76,5
5,-76,5
6,-83,0
8,-82,1
10,-85,-1
12,-86,0
14,-87,5
12,-87,9
9,-88,8
6,-87,8
4,-76,4
5,-79,2
6,-84,-1
6,-87,-3
9,-89,-3
13,-89,-0
14,-90,5
10,-92,6
8,-91,6
6,-73,7
5,-76,2
4,-81,-2
5,-84,-3
7,-90,-5
10,-92,-4
16,-91,-0
12,-94,5
10,-94,5
8,-93,6
6,-91,8
5,-77,0
4,-81,-3
5,-85,-7
7,-91,-8
11,-93,-6
18,-97,-0
13,-98,6
11,-97,7
9,-95,7
7,-93,9
-4,-78,-2
-4,-78,-2
-3,-87,-8
-6,-93,-12
19,-94,-11
20,-99,1
15,-100,7
-7,-100,5
10,-96,10
8,-94,10
-3,-77,0
-3,-84,-5
-3,-87,-7
-5,-93,-9
-9,-96,-9
-13,-99,-3
-9,-100,1
-6,-99,4
-6,-98,5
