-3,-88,14
-9,-85,9
-9,-77,4
-9,-77,4
-2,-88,12
-2,-88,12
-12,-82,3
6,-87,8
5,-77,0
6,-86,-3
10,-94,5
-3,-89,13
10,-83,11
-3,-87,-5
-7,-96,4
-2,-92,8
6,-84,14
-6,-79,3
-11,-86,5
-3,-91,6
6,-84,14
6,-84,14
16,-79,5
-7,-88,7
-2,-89,11
9,-79,3
11,-83,-0
15,-84,3
13,-87,7
12,-84,11
6,-79,3
6,-81,2
9,-86,-2
13,-88,1
12,-89,7
9,-88,8
5,-83,-1
6,-88,-4
9,-91,-4
16,-90,2
11,-93,5
8,-93,6
4,-81,-3
7,-89,-9
14,-94,-8
17,-98,1
13,-98,6
10,-96,8
-3,-84,-5
-4,-89,-9
-9,-96,-11
-13,-100,-2
-9,-101,2
-7,-99,8
-3,-84,-3
-3,-88,-5
-7,-92,-6
-13,-92,-0
-8,-95,4
-4,-71,4
-4,-80,3
-5,-86,-3
-7,-88,-4
-11,-89,1
-3,-74,5
-5,-92,5
6,-86,15
-6,-81,1
10,-76,5
16,-79,5
-7,-88,7
-6,-89,7
6,-84,-1
7,-85,-1
9,-89,-3
9,-89,-3
12,-90,-2
13,-89,-0
15,-90,3
13,-91,5
11,-91,6
6,-86,-3
6,-87,-3
7,-89,-3
9,-91,-4
12,-91,-2
15,-90,0
16,-91,3
13,-93,5
11,-93,5
6,-87,-4
7,-90,-5
8,-91,-5
10,-92,-4
13,-91,-3
17,-91,1
16,-94,4
14,-95,5
11,-95,5
5,-87,-6
6,-90,-7
9,-92,-6
10,-93,-5
15,-92,-3
18,-95,2
15,-96,4
14,-96,5
12,-96,6
6,-87,-8
7,-91,-8
11,-93,-8
13,-93,-7
18,-95,-5
17,-98,1
15,-98,5
13,-98,6
13,-97,6
6,-87,-8
8,-90,-9
11,-91,-9
18,-94,-10
20,-97,-6
19,-99,2
16,-100,5
14,-99,7
13,-99,9
-4,-90,-10
-5,-91,-11
-8,-94,-12
-13,-95,-13
-17,-97,-10
-16,-100,-1
-13,-101,2
-10,-101,3
-9,-101,5
-3,-88,-8
-4,-91,-9
-5,-94,-10
-10,-96,-10
-14,-97,-7
-13,-100,-2
-12,-101,-1
-9,-101,2
-7,-100,4
-3,-90,-8
-4,-92,-8
-5,-94,-9
-8,-94,-8
-11,-95,-7
-13,-98,-2
-10,-99,0
-9,-99,2
-7,-99,3
-3,-88,-6
-3,-89,-6
-4,-92,-7
-7,-93,-7
-12,-93,-5
-13,-95,-1
-12,-95,1
-9,-97,2
-8,-97,3
-3,-88,-5
-3,-88,-5
-4,-90,-6
-7,-92,-6
-10,-92,-5
-12,-91,-2
-12,-93,1
-9,-94,3
-8,-95,4
-3,-86,-3
-4,-87,-4
-5,-89,-5
-5,-89,-5
-8,-90,-4
-11,-90,-2
-11,-92,2
-10,-93,3
-8,-94,4
7,-90,-5
8,-90,-4
8,-91,-5
10,-92,-4
11,-92,-4
13,-91,-3
13,-91,-3
14,-90,-1
16,-91,-0
17,-92,2
17,-92,2
15,-93,5
15,-93,5
7,-91,-6
7,-91,-6
8,-91,-5
10,-92,-4
11,-92,-4
11,-92,-4
14,-92,-4
15,-91,-2
17,-92,0
16,-93,3
16,-93,3
16,-94,4
15,-95,5
7,-91,-6
7,-91,-6
9,-92,-6
10,-93,-5
12,-93,-4
12,-93,-4
15,-92,-3
18,-94,0
18,-94,0
17,-94,3
16,-95,3
15,-96,4
14,-96,5
8,-92,-7
8,-92,-7
9,-92,-6
10,-93,-5
11,-93,-6
15,-93,-5
16,-93,-4
18,-94,-2
18,-95,-0
18,-95,2
16,-97,4
14,-97,5
14,-97,5
8,-92,-7
9,-92,-8
10,-93,-7
13,-93,-7
14,-94,-6
15,-94,-6
18,-94,-4
18,-95,-3
18,-97,-0
17,-97,2
16,-98,3
15,-98,5
14,-97,5
8,-91,-9
10,-92,-9
11,-93,-8
14,-94,-8
14,-94,-8
17,-95,-6
18,-95,-5
18,-97,-2
17,-98,1
17,-98,1
15,-99,4
15,-99,4
14,-99,6
8,-90,-9
10,-91,-9
12,-92,-9
14,-93,-9
16,-94,-8
18,-96,-8
19,-97,-6
19,-98,-3
18,-99,0
17,-99,2
16,-100,4
15,-100,6
14,-99,6
8,-90,-9
11,-91,-9
12,-92,-9
17,-93,-10
18,-94,-10
20,-95,-11
20,-97,-6
20,-98,-2
19,-99,2
17,-100,3
17,-100,3
16,-100,5
15,-100,7
-6,-93,-12
-6,-93,-12
-8,-94,-12
-11,-95,-12
19,-94,-11
20,-95,-10
22,-97,-3
23,-97,-2
20,-99,1
19,-99,3
18,-100,5
15,-100,7
15,-100,7
-6,-93,-12
-6,-93,-12
-8,-94,-12
-11,-95,-12
-15,-95,-13
-18,-97,-12
-17,-97,-10
-17,-99,-5
-17,-100,-2
-15,-101,0
-15,-101,2
-13,-101,2
-12,-101,3
-5,-93,-11
-6,-94,-11
-8,-95,-11
-10,-95,-12
-13,-96,-12
-13,-96,-11
-16,-98,-10
-16,-99,-5
-16,-100,-2
-13,-101,-1
-13,-101,0
-11,-101,0
-10,-101,2
-5,-93,-9
-5,-94,-10
-7,-95,-11
-9,-96,-11
-10,-96,-10
-11,-96,-9
-15,-98,-6
-15,-98,-6
-13,-100,-2
-13,-100,-2
-12,-101,-1
-10,-101,1
-10,-101,1
-5,-93,-9
-5,-93,-9
-6,-95,-10
-7,-95,-9
-9,-96,-9
-10,-96,-9
-14,-97,-8
-14,-99,-4
-13,-99,-3
-13,-100,-2
-11,-100,-0
-11,-100,-0
-9,-100,1
-4,-92,-8
-5,-94,-9
-5,-94,-9
-7,-95,-9
-8,-95,-8
-10,-95,-8
-11,-95,-7
-14,-97,-5
-13,-98,-2
-13,-98,-2
-12,-99,-1
-10,-99,0
-9,-100,1
-4,-91,-7
-5,-93,-8
-6,-94,-8
-6,-94,-8
-8,-94,-8
-9,-94,-7
-13,-95,-6
-13,-94,-4
-14,-96,-2
-13,-97,-1
-12,-98,-0
-10,-99,0
-10,-98,1
-5,-93,-8
-5,-93,-8
-6,-93,-7
-6,-93,-7
-7,-93,-7
-9,-93,-6
-12,-94,-5
-14,-95,-3
-13,-95,-1
-12,-96,0
-12,-96,0
-11,-97,1
-10,-98,1
-4,-92,-7
-4,-92,-7
-6,-92,-6
-7,-93,-7
-7,-93,-7
-9,-93,-6
-10,-93,-6
-13,-93,-4
-13,-93,-1
-13,-94,0
-12,-95,1
-12,-95,1
-11,-96,2
7,-91,-6
9,-92,-6
9,-92,-6
10,-93,-5
10,-93,-5
12,-93,-4
12,-93,-4
12,-93,-4
12,-93,-4
15,-92,-3
15,-92,-3
15,-92,-3
18,-94,0
18,-94,0
18,-94,0
17,-94,3
16,-95,3
16,-95,3
15,-96,4
15,-96,4
9,-92,-6
9,-92,-6
9,-92,-6
10,-93,-5
10,-93,-5
10,-93,-5
12,-93,-4
12,-93,-4
15,-93,-5
16,-93,-4
16,-93,-4
18,-94,0
18,-94,0
18,-94,0
18,-95,2
18,-95,2
18,-95,2
16,-95,3
15,-96,4
15,-96,4
9,-92,-6
9,-92,-6
9,-92,-6
10,-93,-5
10,-93,-5
10,-93,-5
15,-93,-5
15,-93,-5
15,-93,-5
16,-93,-4
16,-93,-4
16,-93,-4
18,-95,-0
18,-95,-0
18,-95,-0
18,-95,2
17,-96,3
16,-97,4
16,-97,4
16,-97,4
8,-92,-7
10,-93,-7
10,-93,-7
10,-93,-7
11,-93,-6
11,-93,-6
13,-93,-5
13,-93,-5
15,-93,-5
16,-93,-4
16,-93,-4
18,-94,-2
17,-93,-3
18,-95,-0
18,-96,1
17,-96,3
17,-96,3
16,-97,4
16,-97,4
16,-97,4
9,-92,-8
10,-93,-7
10,-93,-7
10,-93,-7
11,-93,-6
11,-93,-6
13,-93,-5
13,-93,-5
17,-94,-5
17,-94,-5
18,-94,-4
18,-95,-3
17,-93,-3
18,-96,1
18,-96,1
17,-97,2
17,-97,2
16,-97,4
16,-97,4
16,-97,4
9,-92,-8
10,-93,-7
10,-93,-7
13,-93,-7
13,-93,-7
14,-94,-6
14,-94,-6
15,-94,-6
15,-94,-6
17,-94,-5
18,-94,-4
18,-96,-1
18,-96,-1
18,-97,-0
18,-97,-0
17,-97,2
16,-98,3
16,-98,3
16,-98,3
15,-98,5
9,-92,-8
11,-93,-8
11,-93,-8
13,-93,-7
13,-93,-7
13,-93,-7
14,-94,-6
15,-94,-6
17,-95,-6
18,-95,-5
18,-96,-3
18,-96,-1
18,-96,-1
18,-97,-0
17,-98,1
17,-98,1
16,-98,3
16,-98,3
16,-98,3
15,-98,5
11,-93,-8
11,-93,-8
11,-93,-8
14,-94,-8
14,-94,-8
14,-94,-8
15,-94,-7
15,-94,-7
17,-95,-6
18,-95,-5
18,-96,-3
18,-97,-2
18,-98,-1
18,-98,-1
17,-98,1
17,-98,1
16,-99,2
16,-99,2
15,-99,4
15,-99,4
10,-92,-9
10,-92,-9
13,-93,-9
13,-93,-9
14,-94,-8
14,-94,-8
15,-94,-7
15,-94,-7
18,-96,-7
19,-96,-5
19,-96,-5
18,-97,-2
18,-98,-1
18,-98,-1
18,-99,0
16,-99,2
16,-99,2
16,-99,2
15,-99,4
15,-99,4
10,-91,-9
10,-92,-9
13,-93,-9
13,-93,-9
15,-94,-9
15,-94,-9
16,-94,-8
16,-94,-8
18,-96,-7
19,-96,-7
19,-97,-4
19,-97,-4
19,-98,-3
19,-98,-1
18,-99,0
18,-99,0
16,-99,2
16,-100,4
16,-100,4
15,-99,4
11,-91,-9
11,-91,-9
13,-92,-9
15,-92,-10
14,-93,-9
15,-94,-9
16,-94,-8
17,-95,-9
18,-96,-8
19,-96,-7
19,-97,-6
19,-98,-3
19,-98,-1
19,-98,-1
18,-99,0
17,-99,2
17,-99,2
16,-100,4
16,-100,4
15,-100,6
11,-91,-9
11,-91,-9
13,-92,-9
15,-92,-10
16,-94,-10
16,-94,-10
18,-94,-10
18,-95,-10
19,-96,-9
20,-97,-8
19,-97,-5
19,-98,-3
19,-98,-3
19,-99,2
19,-99,2
17,-99,2
17,-100,3
17,-100,3
16,-100,5
16,-100,5
11,-91,-9
11,-91,-9
15,-92,-10
15,-92,-10
17,-93,-10
18,-94,-10
19,-94,-11
20,-95,-11
19,-96,-9
20,-97,-6
20,-97,-5
21,-98,-3
20,-98,-2
20,-98,-0
19,-99,2
19,-99,2
17,-100,3
17,-100,3
16,-100,5
16,-100,5
11,-91,-9
11,-91,-9
15,-92,-10
17,-93,-10
17,-93,-10
19,-94,-11
19,-94,-11
20,-95,-11
20,-95,-10
20,-97,-6
22,-97,-3
22,-97,-3
21,-98,-0
20,-99,1
19,-99,3
19,-99,3
18,-100,5
18,-100,5
18,-100,5
16,-100,5
-6,-93,-12
11,-91,-9
17,-93,-10
17,-93,-10
17,-93,-10
19,-94,-11
19,-94,-11
20,-95,-10
20,-95,-10
20,-95,-10
22,-97,-3
23,-97,-2
21,-98,-0
20,-99,1
20,-99,1
19,-99,3
18,-100,5
18,-100,5
18,-100,5
18,-100,5
-6,-93,-12
-8,-94,-12
-11,-95,-12
-11,-95,-12
-13,-94,-12
-15,-95,-13
-15,-95,-13
-17,-96,-13
-18,-97,-12
-18,-97,-12
-19,-99,-3
-19,-99,-3
-19,-99,-3
-18,-100,-1
-18,-100,-1
-18,-100,-1
18,-100,5
18,-100,5
-15,-101,2
-13,-101,2
-6,-93,-12
-8,-94,-12
-8,-94,-12
-11,-95,-12
-13,-94,-12
-15,-95,-13
-15,-95,-13
-17,-96,-13
-18,-97,-12
-18,-97,-12
-19,-99,-3
-19,-99,-3
-19,-99,-3
-17,-100,-2
-18,-100,-1
-16,-100,-1
-15,-101,0
-15,-101,2
-15,-101,2
-13,-101,2
-6,-93,-12
-8,-94,-12
-8,-94,-12
-11,-95,-12
-13,-94,-12
-13,-95,-13
-15,-95,-13
-17,-96,-13
-18,-97,-12
-17,-97,-10
-17,-97,-10
-17,-99,-5
-17,-99,-4
-17,-100,-2
-16,-100,-1
-16,-100,-1
-15,-101,0
-15,-101,2
-13,-101,2
-13,-101,2
-6,-93,-12
-8,-94,-12
-8,-94,-12
-11,-95,-12
-13,-94,-12
-12,-95,-12
-14,-96,-12
-16,-96,-13
-16,-97,-12
-17,-97,-10
-16,-98,-8
-17,-98,-7
-16,-100,-4
-17,-99,-4
-16,-100,-2
-14,-101,-1
-14,-101,-1
-13,-101,0
-13,-101,0
-11,-101,2
-6,-94,-11
-6,-94,-11
-8,-95,-11
-9,-95,-12
-10,-95,-12
-13,-96,-12
-13,-96,-12
-15,-97,-12
-15,-97,-12
-16,-97,-11
-16,-98,-8
-16,-99,-5
-16,-100,-4
-16,-100,-2
-16,-100,-2
-14,-101,-1
-14,-101,-1
-13,-101,0
-13,-101,0
-11,-101,2
-6,-94,-11
-6,-94,-11
-8,-95,-11
-8,-95,-11
-10,-95,-12
-11,-96,-11
