0.42553191,0.43209877
0.43340381,0.47619048
0.45643154,0.51724138
0.38037486,0.49295775
0.50695825,0.40404040
0.44117647,0.38461538
0.45643154,0.42288557
0.38882804,0.50116550
0.42948038,0.45893720
0.42155816,0.45012165
0.39717084,0.46762590
0.40540541,0.41353383
0.45643154,0.40404040
0.47861507,0.40404040
0.43340381,0.38461538
0.43340381,0.40404040
0.44117647,0.45893720
0.41353383,0.48463357
0.44885177,0.39440204
0.44885177,0.37467700
0.42948038,0.40404040
0.44502618,0.38461538
0.42553191,0.44117647
0.40540541,0.37467700
0.37610619,0.44117647
0.41755889,0.42288557
0.44502618,0.39440204
0.44885177,0.46762590
0.40130152,0.47619048
0.41755889,0.51724138
